Year_Built,Remodel_Year,Lot_Area,Total_SqFt,Basement_SqFt,Bedrooms,Bathrooms,Garage_Cars,Fireplaces,Has_Pool,Overall_Qual,Neighborhood,House_Condition,Garage_Type,Heating_Type,Sale_Price
2018,2018,10769,1005,1456,4,4.0,1,2,0,2,Historic,Excellent,Detached,Gas,550169
1997,1997,11384,1741,571,3,1.5,3,1,1,5,Historic,Good,Attached,Electric,595391
2006,1990,16727,1354,301,1,1.5,2,2,0,3,Downtown,Poor,Attached,Solar,366828
1970,2001,6534,3331,963,4,2.5,3,1,0,3,Historic,Good,Attached,Gas,789189
1969,2006,3755,4208,1784,3,2.5,0,0,1,4,Suburbs,Good,None,Gas,760102
1964,2010,11302,2319,989,2,2.5,2,0,0,4,Suburbs,Good,Detached,Electric,540788
2018,2018,15907,1570,1192,4,3.5,0,1,1,5,Suburbs,Excellent,None,Oil,650373
2000,1992,11984,1048,976,2,2.5,2,1,0,7,Historic,Fair,Attached,Solar,425978
2011,2017,17385,1897,1986,4,3.0,2,0,0,4,Suburbs,Good,Detached,Electric,558362
1986,1986,10181,1172,268,6,3.0,3,1,0,7,Suburbs,Good,Detached,Gas,420191
1955,1955,16445,2654,1387,5,1.0,2,1,0,9,Rural,Good,Detached,Electric,533638
2020,2020,15875,3726,623,2,2.5,0,3,0,3,Suburbs,Good,None,Gas,646131
1975,1975,6414,1634,99,2,3.5,2,2,0,5,Downtown,Excellent,Attached,Electric,751813
1957,1957,18005,3718,1937,2,1.0,2,0,0,4,Downtown,Good,Attached,Gas,1004140
2022,2022,12501,1501,214,6,2.0,1,0,0,9,Downtown,Excellent,Detached,Gas,901111
1953,1953,17245,2985,624,1,4.0,2,3,0,5,Suburbs,Fair,Detached,Oil,557545
1970,1970,9457,3795,96,3,2.0,1,1,1,10,Downtown,Fair,Detached,Electric,891332
1980,2019,9749,3304,818,2,2.5,2,1,1,2,Rural,Fair,Attached,Gas,405881
1970,1970,3296,3661,629,2,4.0,2,1,1,10,Suburbs,Good,Attached,Gas,779382
1974,1974,12821,3670,547,1,1.5,2,0,0,1,Suburbs,Good,Attached,Oil,570173
1964,2020,19952,1741,336,1,1.0,1,3,0,7,Historic,Excellent,Attached,Electric,826243
1984,2001,8283,3291,358,5,3.5,3,2,0,1,Suburbs,Fair,Detached,Gas,537033
1998,1998,16119,3200,1313,4,3.5,1,3,0,8,Rural,Good,Detached,Gas,600832
1992,2003,10664,1795,1419,2,2.5,2,0,0,9,Suburbs,Good,Attached,Gas,554439
1990,1990,10511,1593,1924,4,2.5,3,2,0,7,Suburbs,Good,Attached,Solar,559597
1986,1986,8465,3258,815,1,3.5,2,1,1,9,Downtown,Excellent,Attached,Electric,1200000
2006,2006,15557,1477,359,1,3.0,1,3,0,10,Suburbs,Good,Attached,Electric,534600
1991,2007,7382,2613,1014,5,2.0,1,3,1,6,Suburbs,Excellent,Detached,Electric,850721
1996,1996,19449,2361,346,3,1.0,0,0,0,7,Suburbs,Fair,None,Gas,474335
2010,2005,12408,1252,1147,6,2.5,1,3,0,3,Downtown,Good,Attached,Oil,597857
1963,1963,16690,3266,551,6,3.5,2,2,0,9,Downtown,Excellent,Detached,Electric,1200000
2017,2013,8069,3297,1676,6,3.5,0,3,0,3,Suburbs,Good,None,Gas,702197
2002,2002,14672,3842,537,1,4.0,0,0,1,6,Suburbs,Excellent,None,Gas,947795
1983,1983,19891,4456,653,2,3.5,3,3,0,4,Suburbs,Good,Attached,Electric,788102
1973,2014,10704,1938,1887,5,2.5,0,2,0,9,Suburbs,Fair,None,Solar,480714
1969,2010,10975,850,1930,3,2.5,2,2,0,1,Rural,Excellent,Attached,Gas,349904
2018,2018,15069,2192,421,6,3.5,1,0,0,9,Downtown,Fair,Attached,Oil,708362
1979,2014,9565,2338,335,5,3.0,2,1,0,4,Waterfront,Excellent,Attached,Oil,1200000
1956,2019,7870,1009,1526,1,2.5,1,0,0,10,Rural,Excellent,Attached,Gas,425075
1985,1985,12117,1687,56,6,1.5,1,1,0,5,Downtown,Fair,Attached,Gas,519989
1987,2015,4938,3845,1685,3,4.0,2,2,0,1,Historic,Good,Attached,Gas,839970
2001,2014,14554,2726,1016,4,2.5,3,3,0,1,Historic,Excellent,Attached,Electric,915636
1964,1964,6232,3840,1902,3,2.0,0,3,0,6,Downtown,Good,None,Gas,994578
1995,1995,6465,1649,911,2,3.0,0,2,0,10,Suburbs,Good,None,Gas,519816
1972,1994,3440,2677,716,6,3.0,1,0,0,1,Waterfront,Fair,Attached,Electric,721842
1961,1961,19845,1426,1099,6,1.5,0,3,0,2,Rural,Good,None,Electric,308953
1993,1993,8413,3526,1489,4,3.5,0,0,0,3,Suburbs,Fair,None,Gas,538518
1964,1964,14663,2258,284,4,2.0,3,3,0,7,Suburbs,Fair,Detached,Gas,490940
1998,2006,8755,3624,721,6,1.5,1,1,0,2,Suburbs,Good,Attached,Electric,664419
1970,1970,8012,2050,385,2,2.0,1,3,1,5,Suburbs,Poor,Detached,Electric,331422
1964,1994,19126,1462,949,4,3.0,0,1,0,9,Rural,Good,None,Oil,387703
1963,1963,9752,1067,769,1,4.0,1,3,0,10,Suburbs,Poor,Detached,Gas,307562
1991,1991,3005,2963,1282,6,3.5,1,3,0,8,Suburbs,Excellent,Attached,Oil,875863
1964,1996,7776,2423,1500,3,4.0,3,3,0,8,Rural,Good,Attached,Electric,488285
2012,1996,10038,2653,1719,3,1.5,1,3,0,2,Downtown,Good,Detached,Electric,778404
2017,2017,9414,1553,839,2,1.0,3,3,0,1,Suburbs,Good,Attached,Electric,345851
1976,1976,6970,4231,10,1,2.5,3,0,0,9,Rural,Good,Attached,Gas,578616
2002,2002,14050,2152,971,4,2.0,1,1,0,10,Historic,Fair,Attached,Gas,651007
2001,1993,5606,2668,671,6,3.5,0,1,0,4,Suburbs,Excellent,None,Electric,675776
2012,2012,19482,1863,259,3,3.0,0,3,0,9,Suburbs,Excellent,None,Electric,749854
2022,2009,3525,981,392,3,4.0,1,0,1,7,Downtown,Fair,Attached,Electric,453887
2002,2015,9337,2313,599,3,2.0,0,0,1,6,Suburbs,Good,None,Gas,528773
2006,2006,4180,4080,1392,3,2.5,2,2,1,10,Suburbs,Poor,Attached,Solar,610622
2001,2001,16057,1702,1207,5,2.5,1,2,0,9,Suburbs,Fair,Detached,Electric,465823
1992,1992,8922,4144,1039,2,1.5,3,0,0,10,Suburbs,Poor,Detached,Gas,600052
1956,1956,6071,1942,755,4,3.0,0,2,0,4,Suburbs,Fair,None,Gas,329421
1991,2009,5792,4253,1529,6,2.5,0,1,0,1,Downtown,Good,None,Oil,1014437
1953,2017,16844,3793,1109,6,2.5,2,0,0,5,Suburbs,Excellent,Attached,Oil,1041846
2018,1996,3014,4407,710,6,2.0,0,2,0,6,Suburbs,Fair,None,Electric,647081
1954,1954,5685,3105,1033,4,1.0,3,0,1,6,Suburbs,Good,Attached,Oil,675936
1990,2017,19212,2306,476,2,2.5,3,2,0,1,Downtown,Excellent,Detached,Gas,982962
1953,1953,12428,3356,1187,1,2.0,2,0,0,7,Historic,Good,Detached,Gas,834748
1951,1951,11159,2939,23,2,1.0,3,3,0,8,Rural,Poor,Detached,Oil,323874
2016,1998,7100,2802,1599,3,2.0,1,1,1,5,Rural,Good,Attached,Oil,451039
1970,2002,9374,1984,311,3,2.0,0,2,0,2,Waterfront,Good,None,Electric,738575
2019,2019,9004,948,1261,2,2.0,3,3,0,2,Suburbs,Good,Attached,Oil,356076
1992,1999,8521,2964,461,2,1.5,1,0,0,5,Downtown,Excellent,Attached,Gas,1011826
2018,2019,14412,3305,1485,4,2.5,3,3,0,7,Suburbs,Good,Detached,Oil,776921
1958,2015,14755,3412,1880,4,3.0,2,1,0,7,Rural,Good,Attached,Gas,591944
1977,1977,6890,3661,1261,5,3.0,0,2,0,4,Rural,Excellent,None,Gas,626544
1975,2018,12191,2892,21,6,3.5,2,2,1,3,Suburbs,Fair,Attached,Gas,543835
1952,1995,3151,2600,179,5,2.5,1,0,0,9,Downtown,Good,Attached,Gas,809873
2022,1992,16861,2821,1841,6,2.5,0,1,0,7,Suburbs,Fair,None,Gas,583296
1998,2018,18032,3621,1582,3,3.5,1,3,0,2,Suburbs,Fair,Attached,Gas,585827
1966,1991,7599,2642,790,5,2.5,3,0,1,1,Rural,Excellent,Attached,Gas,528341
2012,2012,15274,2836,1759,5,3.0,2,2,1,2,Rural,Good,Detached,Gas,476611
2004,2004,15218,3081,729,1,2.5,2,3,0,3,Suburbs,Good,Attached,Electric,600577
1972,1972,5977,2198,1522,2,2.5,1,0,1,5,Historic,Fair,Detached,Gas,541700
1983,1983,6793,2370,1498,4,3.5,1,3,0,3,Rural,Excellent,Attached,Gas,515336
2018,2018,4659,2673,748,5,1.5,0,3,0,10,Suburbs,Good,None,Electric,626367
1964,2013,8162,2772,715,4,2.0,0,0,0,9,Downtown,Good,None,Oil,857244
1996,1996,13705,3044,338,6,1.5,1,3,0,10,Suburbs,Good,Detached,Oil,707274
1952,2006,19040,2872,530,5,2.0,3,3,0,4,Suburbs,Excellent,Attached,Gas,906681
1977,1999,7270,3242,691,6,1.5,0,1,0,7,Suburbs,Good,None,Electric,663824
1952,1952,16286,1513,161,5,2.5,1,1,1,4,Suburbs,Fair,Detached,Gas,362854
1953,1999,6603,2608,1820,3,3.5,3,2,0,3,Suburbs,Good,Detached,Gas,595664
1980,1980,16772,3907,1084,1,3.5,3,1,0,10,Suburbs,Good,Attached,Gas,869106
1994,2006,5291,4345,1108,6,2.0,0,0,0,1,Historic,Good,None,Oil,825883
2008,2015,16123,1022,1570,2,4.0,3,3,0,9,Downtown,Fair,Detached,Gas,658746
1994,1994,6811,1663,489,2,3.0,2,2,1,1,Suburbs,Excellent,Attached,Gas,449887
1986,1986,16347,1329,4,3,2.0,2,1,0,1,Suburbs,Fair,Attached,Gas,281898
2014,2014,16851,2011,75,3,3.5,0,3,1,1,Historic,Good,None,Oil,541230
1958,2010,18513,2225,1276,2,3.0,1,0,0,5,Downtown,Good,Attached,Electric,861351
1966,2020,8142,3104,6,6,3.0,0,3,0,7,Suburbs,Excellent,None,Gas,916714
2014,2014,15194,1453,680,2,1.5,2,0,0,7,Historic,Excellent,Detached,Electric,745170
1952,2007,10526,1959,1665,1,2.5,3,3,0,10,Historic,Good,Detached,Electric,753560
1975,1975,16513,2642,472,5,3.5,1,2,0,1,Waterfront,Good,Attached,Electric,980397
2002,2002,15084,3438,1161,1,2.5,2,2,0,6,Suburbs,Fair,Attached,Gas,579827
1980,2002,16349,1243,1381,2,3.0,0,1,0,9,Suburbs,Excellent,None,Oil,641668
1975,1975,18068,3265,811,5,3.0,2,1,0,6,Rural,Good,Attached,Gas,515739
1972,1994,7595,4163,837,2,3.5,3,3,0,4,Historic,Good,Detached,Electric,924871
1979,2018,18402,1373,602,1,2.0,2,3,0,10,Rural,Excellent,Attached,Gas,509863
1959,2022,12955,2976,1186,1,2.5,3,1,0,9,Rural,Excellent,Attached,Gas,708722
2021,2021,16996,1810,317,6,1.5,1,1,0,3,Suburbs,Good,Attached,Gas,454377
2013,2013,4185,1140,1481,6,3.0,3,3,0,10,Waterfront,Good,Attached,Electric,972695
1971,1971,6285,3657,1276,1,3.0,0,3,0,4,Suburbs,Good,None,Gas,630247
1964,1999,6447,2080,1224,5,1.0,1,3,1,4,Suburbs,Good,Attached,Oil,519329
2005,2005,13662,3839,1555,6,3.0,1,2,1,4,Suburbs,Good,Attached,Gas,768705
1969,1969,7899,4437,1764,6,2.0,2,0,0,6,Suburbs,Excellent,Attached,Electric,1132404
1996,2001,19060,899,1698,4,1.5,3,0,0,7,Suburbs,Good,Attached,Oil,465818
2002,2002,4935,2886,1188,4,2.5,2,1,0,9,Downtown,Poor,Attached,Electric,659548
2002,2002,12445,3110,231,6,1.5,0,2,0,3,Rural,Good,None,Electric,437148
1950,1950,12274,949,327,2,2.0,3,3,1,8,Suburbs,Good,Attached,Electric,452084
1951,1951,13335,2456,237,5,2.0,1,3,1,8,Rural,Good,Attached,Gas,473086
2007,2007,11545,3537,1143,3,3.0,3,1,1,1,Suburbs,Fair,Attached,Oil,548445
1968,1968,10479,3660,949,6,3.5,0,1,0,5,Suburbs,Fair,None,Gas,578601
2011,1990,8255,2153,1886,4,3.0,2,2,1,10,Suburbs,Good,Attached,Electric,678692
2021,2016,8062,1943,894,5,1.0,2,0,0,5,Downtown,Poor,Attached,Electric,477998
1961,1961,10066,2407,1904,5,4.0,1,0,0,8,Suburbs,Excellent,Detached,Gas,869534
1975,2008,13712,3066,618,4,3.0,1,3,0,8,Downtown,Excellent,Detached,Gas,1200000
1976,2011,18991,3753,249,5,1.0,3,1,0,2,Downtown,Fair,Attached,Electric,808694
1978,1978,6022,2637,1359,5,3.5,1,2,0,3,Historic,Fair,Attached,Oil,550262
1964,1998,4547,3994,1307,4,1.5,2,3,0,2,Suburbs,Excellent,Detached,Solar,952618
1995,2000,15210,1043,197,1,2.5,1,0,0,1,Waterfront,Good,Attached,Electric,547557
1950,2011,7204,3733,415,6,2.5,0,0,1,2,Suburbs,Excellent,None,Electric,838227
2009,1998,10590,1386,731,2,2.5,1,2,0,10,Rural,Good,Detached,Solar,388129
2006,2018,4368,3365,1418,3,3.5,3,3,0,6,Waterfront,Fair,Attached,Gas,1084479
1952,1952,14529,3892,937,2,2.5,1,2,0,1,Rural,Good,Attached,Gas,499466
1967,2020,18945,3037,1174,1,1.0,3,3,0,6,Suburbs,Good,Attached,Electric,679246
2001,2001,12709,4096,1821,1,4.0,3,0,1,1,Suburbs,Good,Detached,Oil,772434
2009,1993,16644,3762,1288,5,4.0,1,1,0,2,Suburbs,Excellent,Attached,Oil,961180
1983,1983,7917,3462,1243,2,3.0,3,1,0,8,Historic,Good,Attached,Gas,879854
2009,2009,14877,1655,1239,1,2.5,1,0,1,6,Waterfront,Good,Detached,Gas,929903
1975,2004,16224,3313,1338,2,1.5,0,1,1,9,Historic,Poor,None,Gas,628377
2021,2021,6052,2946,1691,1,3.5,2,1,0,1,Downtown,Fair,Attached,Gas,667460
1968,2004,11382,2835,215,3,1.0,0,3,0,5,Rural,Excellent,None,Gas,528039
1971,1971,10240,1629,1358,1,1.0,2,2,0,7,Historic,Fair,Attached,Oil,499578
1982,2009,6238,2186,1382,2,2.5,1,3,0,9,Suburbs,Fair,Attached,Gas,480847
1987,1987,13407,3844,1649,5,1.5,3,2,0,9,Downtown,Fair,Attached,Oil,999803
1984,1984,3565,3954,1184,2,1.0,1,2,1,4,Rural,Good,Attached,Gas,529559
2016,2016,8558,2516,814,4,2.5,3,1,0,4,Rural,Good,Attached,Electric,383235
1959,1990,19375,2487,609,2,1.5,3,2,0,4,Waterfront,Good,Attached,Gas,1019078
1964,2020,14103,855,510,3,1.5,0,2,0,3,Downtown,Excellent,None,Gas,562331
1960,1998,18174,2525,917,6,1.0,0,0,0,8,Waterfront,Excellent,None,Gas,1200000
1973,2012,11722,2753,156,3,1.5,2,2,1,5,Suburbs,Excellent,Detached,Solar,765900
1953,2015,11753,1845,161,3,3.0,2,0,0,7,Suburbs,Good,Attached,Oil,490089
1962,2007,8629,3427,41,1,3.5,2,3,0,10,Suburbs,Fair,Attached,Electric,648338
2022,2022,9318,984,1203,3,2.5,3,1,0,6,Waterfront,Good,Attached,Gas,803799
2006,2006,3301,1321,302,2,2.5,2,2,0,9,Rural,Excellent,Detached,Solar,413808
1986,1986,10506,2401,1353,6,1.0,0,0,1,3,Suburbs,Poor,None,Gas,340799
1997,1997,11701,3111,1586,5,1.0,2,3,0,6,Suburbs,Poor,Attached,Gas,491111
2020,2004,9962,2048,1013,3,2.0,3,3,0,3,Historic,Fair,Attached,Electric,505741
1950,1994,8429,2458,763,2,2.5,2,3,0,2,Suburbs,Poor,Attached,Solar,339068
2009,2003,18866,1861,1452,1,3.0,2,0,0,3,Waterfront,Good,Attached,Gas,823371
1961,2003,10248,1802,1373,1,3.0,2,0,0,2,Suburbs,Poor,Attached,Gas,300558
1970,1994,5203,2970,119,5,2.0,3,1,0,2,Suburbs,Excellent,Detached,Solar,714487
1960,2000,5479,4027,1098,5,1.5,3,2,1,10,Suburbs,Good,Detached,Gas,893998
1993,1993,13386,3148,673,2,3.5,2,3,0,7,Suburbs,Excellent,Attached,Gas,901844
2007,2007,3434,3680,660,5,2.0,3,1,0,10,Rural,Excellent,Attached,Electric,743828
1993,1993,13230,2817,122,5,3.0,0,0,1,3,Suburbs,Excellent,None,Oil,740687
1983,1983,4706,3938,652,1,2.5,2,1,0,8,Suburbs,Good,Attached,Electric,705429
1974,1994,8725,2728,1205,2,3.0,2,3,0,2,Historic,Fair,Attached,Solar,533857
1953,2019,6959,3492,920,6,3.5,1,3,1,7,Suburbs,Good,Attached,Electric,774865
2013,2013,17521,3721,1013,5,4.0,3,1,0,3,Suburbs,Excellent,Attached,Gas,1034246
1965,2019,14143,1193,1913,2,2.5,3,3,0,9,Historic,Fair,Attached,Solar,614727
1959,2003,9825,2417,788,3,2.5,0,0,0,7,Rural,Good,None,Gas,395347
2015,2015,9347,4441,256,1,2.0,2,3,0,9,Downtown,Good,Attached,Gas,1149049
1984,1984,15841,1460,1977,6,4.0,2,2,0,2,Historic,Good,Attached,Electric,653355
1955,1994,5713,2228,1860,1,2.5,2,2,0,6,Rural,Good,Detached,Gas,407742
1968,2001,14561,4320,756,1,1.5,2,3,0,5,Suburbs,Good,Attached,Gas,817839
2008,2008,15787,1954,597,4,2.5,0,1,1,2,Downtown,Poor,None,Gas,471688
2002,2002,9512,868,1606,2,1.5,0,3,0,4,Waterfront,Good,None,Gas,643458
1957,1957,13596,4216,1292,3,2.5,1,2,0,4,Rural,Good,Attached,Oil,562397
1959,1959,18182,3609,1516,5,2.5,3,0,0,8,Suburbs,Fair,Detached,Electric,693689
2016,2018,6221,1119,1203,3,2.0,3,2,0,7,Historic,Fair,Attached,Solar,433696
1987,1987,4082,3024,790,2,1.0,0,3,0,5,Waterfront,Excellent,None,Gas,1200000
1978,1978,11637,1383,1172,1,4.0,1,3,1,9,Suburbs,Excellent,Attached,Gas,651033
1964,1964,16123,4400,1541,4,3.5,0,1,0,1,Suburbs,Excellent,None,Gas,971473
1972,1990,16042,2664,1171,2,3.5,3,3,0,4,Suburbs,Good,Detached,Gas,666119
1995,1995,17133,1983,1867,6,2.0,1,3,0,5,Rural,Good,Attached,Gas,447596
1977,1977,8608,1381,679,6,3.5,3,0,0,8,Downtown,Excellent,Attached,Oil,948534
1975,1997,8526,4496,1032,2,2.5,0,0,0,3,Rural,Poor,None,Solar,360753
1959,1959,9472,2567,1201,5,1.5,0,0,0,5,Waterfront,Good,None,Solar,922245
1996,1996,5775,2356,795,3,1.5,3,1,1,3,Historic,Excellent,Attached,Gas,828325
1953,1953,18828,4006,1418,3,2.0,2,1,0,7,Suburbs,Good,Detached,Oil,823095
2004,2005,15008,2598,1651,5,1.5,1,2,1,10,Waterfront,Good,Attached,Gas,1200000
2015,2021,18055,910,607,4,4.0,2,1,1,3,Downtown,Excellent,Attached,Gas,786026
2016,2016,8118,1798,330,1,1.0,2,0,1,7,Waterfront,Good,Attached,Oil,824001
1956,1956,10960,1557,1879,1,2.5,2,1,0,2,Downtown,Fair,Attached,Electric,544366
2004,2004,15464,1082,55,6,2.5,0,3,1,7,Suburbs,Good,None,Gas,462640
1980,2010,10596,4391,1230,4,2.0,3,1,0,9,Waterfront,Good,Attached,Gas,1200000
1968,2002,10240,2542,104,5,2.5,0,3,0,5,Downtown,Good,None,Gas,779128
1977,2001,7942,3041,546,2,1.5,2,2,0,6,Suburbs,Excellent,Attached,Electric,833254
1977,2002,16536,3814,1744,3,3.5,1,3,1,10,Rural,Excellent,Attached,Electric,889883
1968,2007,4600,1870,792,2,2.0,2,0,0,3,Rural,Good,Attached,Solar,293041
1969,2008,8700,3825,1904,3,3.0,3,2,0,10,Rural,Excellent,Attached,Gas,857850
1962,2008,9071,3189,1378,2,3.0,2,2,0,5,Rural,Excellent,Attached,Gas,643109
1992,1992,13248,4113,1682,5,3.5,1,2,0,5,Suburbs,Fair,Attached,Electric,689871
1960,1960,15523,3369,488,5,3.5,1,0,0,3,Suburbs,Poor,Detached,Electric,424016
1997,1996,14047,2193,1822,4,3.0,2,3,1,8,Suburbs,Fair,Attached,Gas,595407
1964,2017,8765,1600,1616,2,2.0,1,2,0,6,Suburbs,Fair,Attached,Electric,392087
1966,2017,3026,3750,1526,2,2.5,1,0,1,3,Historic,Excellent,Attached,Oil,1071303
2003,2003,9693,930,1073,4,3.5,0,2,0,1,Rural,Poor,None,Solar,154824
1999,2005,9609,2093,1110,4,3.5,0,2,1,10,Suburbs,Excellent,None,Oil,825321
1977,1977,12314,2763,1726,5,1.5,1,0,0,1,Suburbs,Poor,Attached,Oil,370913
1953,2011,19258,3661,302,5,2.0,2,1,0,10,Historic,Poor,Attached,Electric,705276
1971,1971,8309,860,1024,6,3.5,3,2,0,2,Suburbs,Fair,Attached,Oil,307494
1988,1988,3011,3011,1404,2,2.5,0,1,0,10,Rural,Poor,None,Gas,339684
1983,1983,18389,2348,1977,5,2.0,2,2,0,5,Suburbs,Good,Attached,Gas,602194
1993,2014,16671,1071,649,5,2.0,2,1,0,7,Rural,Good,Attached,Gas,354056
1991,1991,8774,2581,647,2,3.0,2,3,0,1,Downtown,Good,Attached,Electric,693961
1989,1989,19563,2980,1385,4,4.0,2,1,0,1,Historic,Good,Attached,Gas,727152
1961,1961,3796,2067,380,2,2.5,2,1,0,4,Historic,Excellent,Attached,Solar,620877
1951,2001,10279,3845,1689,1,1.5,2,1,0,10,Rural,Good,Detached,Gas,614099
1977,1977,10188,2257,161,2,1.5,1,1,0,6,Rural,Poor,Attached,Gas,226549
2016,1993,5024,837,18,1,1.0,3,3,0,9,Historic,Excellent,Detached,Electric,580067
2020,2004,10666,2694,973,2,2.5,3,0,0,1,Rural,Fair,Attached,Gas,322481
2021,2021,6217,4439,1863,1,2.5,2,1,1,10,Suburbs,Poor,Attached,Gas,645719
1959,2016,9584,2142,242,1,1.5,0,0,0,5,Rural,Poor,None,Gas,219814
2006,2006,8285,4381,128,2,3.0,3,2,0,9,Rural,Poor,Attached,Electric,461220
1986,2012,10370,4247,1199,6,3.0,0,0,0,8,Suburbs,Good,None,Gas,810938
2013,2013,9856,4431,408,5,2.0,2,1,0,7,Rural,Poor,Attached,Oil,425434
1989,2020,5432,3464,791,3,2.0,3,0,0,10,Historic,Fair,Attached,Electric,792296
2009,2015,7866,1273,942,5,4.0,0,3,0,2,Historic,Excellent,None,Gas,542227
1997,1996,16566,858,1107,1,2.0,2,3,0,9,Suburbs,Good,Attached,Gas,465590
1968,1968,8054,3436,1399,2,3.5,0,1,1,8,Downtown,Fair,None,Gas,877728
2021,2021,12108,2763,221,2,2.5,1,0,0,10,Historic,Excellent,Attached,Oil,953488
1982,2009,4781,3346,1348,2,3.5,0,2,0,10,Waterfront,Good,None,Gas,1200000
1993,1999,14062,4089,1474,2,3.5,2,3,0,9,Downtown,Good,Attached,Gas,1200000
1986,1986,14774,2718,1439,6,3.0,2,1,1,9,Historic,Excellent,Attached,Oil,1189587
1985,1985,18958,3414,1680,3,3.5,3,3,0,9,Historic,Good,Detached,Electric,1001788
1970,1970,12638,3414,444,4,4.0,0,1,0,3,Suburbs,Fair,None,Gas,553810
1951,2005,4379,4000,617,1,2.5,0,0,0,7,Rural,Good,None,Gas,529195
1980,1980,12675,1703,1348,3,1.5,0,0,0,1,Suburbs,Excellent,None,Solar,499574
1979,1979,13266,1182,522,5,2.0,0,0,1,9,Downtown,Excellent,None,Oil,875801
1993,1993,18195,2211,165,4,3.5,1,0,0,9,Suburbs,Good,Attached,Electric,573628
1961,1961,13929,884,707,4,3.0,1,0,0,3,Waterfront,Poor,Attached,Electric,403338
2000,2000,8267,2333,742,2,1.5,2,1,0,5,Downtown,Excellent,Attached,Electric,916825
1998,2016,6257,3474,1682,3,1.0,2,3,0,8,Suburbs,Good,Attached,Solar,739857
1973,1973,15069,4308,1894,5,3.0,2,2,0,6,Suburbs,Excellent,Attached,Solar,1148178
1973,2019,3981,3673,1261,2,2.0,1,3,0,10,Suburbs,Good,Attached,Gas,729959
2009,2009,13668,3140,1008,2,2.5,2,0,0,10,Historic,Fair,Attached,Oil,754618
1960,1960,14656,3920,912,6,3.0,2,3,0,9,Suburbs,Fair,Detached,Gas,721814
1962,1962,11063,1890,1036,1,2.5,1,3,0,3,Suburbs,Excellent,Attached,Gas,504314
2021,2019,12665,3634,1754,4,1.0,1,1,0,7,Rural,Good,Attached,Electric,575560
2021,2005,9437,928,1280,5,1.5,1,2,0,6,Suburbs,Excellent,Attached,Gas,481677
2013,2013,13375,2876,1537,4,1.5,1,2,0,5,Suburbs,Good,Detached,Solar,629864
1969,1969,5861,4214,1233,3,2.0,3,0,0,4,Suburbs,Good,Detached,Gas,728017
2021,2006,15842,2368,1507,1,2.5,2,1,0,5,Downtown,Excellent,Detached,Electric,987579
2022,2000,9227,3990,364,2,2.5,3,1,0,4,Suburbs,Good,Attached,Solar,662508
2020,2020,14424,1491,224,1,1.5,1,1,1,3,Suburbs,Good,Attached,Solar,396007
1977,1998,12643,2760,995,2,1.0,1,1,0,7,Suburbs,Poor,Attached,Gas,415687
1951,1951,13310,932,193,1,1.5,1,1,1,6,Historic,Poor,Attached,Gas,282787
1992,1992,18233,4198,1219,2,4.0,1,2,1,4,Suburbs,Excellent,Attached,Electric,1070994
1957,1957,16200,2008,1423,4,2.5,1,2,0,9,Rural,Fair,Attached,Gas,366508
1962,1962,13532,4377,1795,4,3.5,2,3,0,1,Rural,Good,Attached,Solar,583684
1984,1992,12680,1445,56,4,3.5,0,2,0,1,Downtown,Good,None,Solar,466378
1972,1972,13619,3536,1992,4,2.5,0,1,0,9,Rural,Fair,None,Gas,524079
1995,1997,10150,3381,1648,1,3.0,2,3,1,7,Suburbs,Poor,Attached,Gas,517708
1964,2016,4766,4112,212,2,1.5,2,2,0,2,Historic,Poor,Attached,Gas,555935
1951,1951,6549,2412,1302,4,3.0,2,3,0,10,Downtown,Good,Attached,Solar,908080
2010,2010,12634,1315,1779,1,2.0,3,2,0,5,Suburbs,Good,Attached,Gas,444518
2013,2020,4976,2845,1403,2,3.5,0,0,1,4,Downtown,Fair,None,Gas,672636
2001,2001,18560,2663,116,1,1.5,1,2,0,1,Historic,Good,Attached,Gas,598470
1985,1985,15165,3807,1921,6,3.5,3,3,0,9,Suburbs,Good,Detached,Electric,928644
2016,2016,5490,3012,1474,4,1.5,3,0,0,6,Rural,Good,Attached,Gas,478758
2018,2018,14995,3774,598,3,3.5,0,1,0,6,Downtown,Good,None,Gas,1032009
2016,2020,15019,1732,409,1,2.0,3,3,0,4,Rural,Excellent,Attached,Solar,434318
1996,2014,10425,2463,1916,4,3.0,1,1,0,2,Suburbs,Excellent,Detached,Solar,710701
1951,1951,15857,1356,1390,5,2.5,3,1,0,8,Historic,Poor,Attached,Oil,447227
1993,1992,11689,4089,1798,2,2.0,2,3,0,8,Suburbs,Excellent,Detached,Gas,1120834
2013,2005,6976,2471,811,6,3.0,2,1,0,3,Suburbs,Good,Attached,Gas,540096
1977,1977,17205,3527,928,4,4.0,1,3,0,7,Downtown,Excellent,Attached,Electric,1200000
2003,2003,3704,1792,1136,5,1.0,0,3,0,7,Suburbs,Excellent,None,Gas,594711
2016,2019,8452,2428,1983,1,4.0,0,2,0,5,Rural,Excellent,None,Solar,555515
1985,1999,15849,3876,1187,1,3.0,0,0,0,5,Downtown,Excellent,None,Electric,1200000
2012,2012,9094,2491,3,5,3.5,1,1,0,8,Waterfront,Fair,Detached,Gas,891407
1974,1974,6681,1556,1653,6,2.0,0,1,0,4,Suburbs,Good,None,Solar,414505
